iter	RMSE
0	10.95862439
1	10.69124289
2	10.43228377
3	10.18832516
4	9.982689732
5	9.82888702
6	9.702259551
7	9.526801309
8	9.382895098
9	9.255290534
10	9.142361211
11	9.01319752
12	8.941832279
13	8.826580539
14	8.753951549
15	8.6636255
16	8.592474605
17	8.531931143
18	8.489066484
19	8.435644909
20	8.377030389
21	8.328520929
22	8.294395745
23	8.249128801
24	8.193250861
25	8.155098379
26	8.109452331
27	8.076367239
28	8.037343658
29	8.002854933
30	7.961555772
31	7.933154684
32	7.902595623
33	7.867816369
34	7.847064996
35	7.817247412
36	7.804102289
37	7.783036616
38	7.757271114
39	7.730271721
40	7.704698568
41	7.684874003
42	7.670079972
43	7.655830171
44	7.628140875
45	7.607850308
46	7.580604351
47	7.569731428
48	7.546910311
49	7.527139771
50	7.513010938
51	7.48493869
52	7.454207219
53	7.426373319
54	7.410764705
55	7.394708828
56	7.382661846
57	7.375731224
58	7.348692926
59	7.33528013
60	7.312036546
61	7.29554452
62	7.278192153
63	7.270285423
64	7.254991594
65	7.247030086
66	7.235154783
67	7.212591135
68	7.193430312
69	7.171223449
70	7.144481749
71	7.131093823
72	7.119427454
73	7.086946162
74	7.076107419
75	7.066627808
76	7.056419663
77	7.041257331
78	7.021894387
79	7.003904776
80	6.997087481
81	6.99420557
82	6.984021297
83	6.966746756
84	6.961108166
85	6.941386734
86	6.923483031
87	6.909093
88	6.891484445
89	6.854775373
90	6.829473324
91	6.818788331
92	6.815721348
93	6.799039531
94	6.795734826
95	6.779178145
96	6.775156344
97	6.765513169
98	6.751463246
99	6.747088095
100	6.743955199
101	6.734586402
102	6.703417892
103	6.689560736
104	6.683844325
105	6.665743389
106	6.662617503
107	6.659441984
108	6.644950115
109	6.617326756
110	6.573221979
111	6.569572428
112	6.552488392
113	6.538240306
114	6.521976609
115	6.511627454
116	6.496934982
117	6.482516443
118	6.467574448
119	6.445818038
120	6.431113008
121	6.409793175
122	6.405076524
123	6.388562374
124	6.376941206
125	6.375783129
126	6.355661185
127	6.343481365
