iter	Passed	Remaining
0	19	2501
1	41	2631
2	60	2536
3	79	2452
4	100	2468
5	123	2519
6	147	2556
7	170	2550
8	187	2476
9	204	2409
10	221	2357
11	240	2323
12	254	2252
13	267	2180
14	280	2115
15	294	2060
16	307	2010
17	320	1961
18	334	1921
19	347	1878
20	362	1847
21	375	1811
22	389	1776
23	402	1744
24	415	1712
25	429	1686
26	442	1655
27	455	1628
28	469	1602
29	482	1577
30	508	1590
31	534	1602
32	556	1601
33	572	1581
34	588	1563
35	605	1546
36	621	1529
37	637	1508
38	654	1493
39	687	1512
40	708	1503
41	728	1490
42	746	1474
43	764	1459
44	796	1468
45	867	1546
46	924	1593
47	985	1642
48	1023	1650
49	1119	1746
50	1216	1837
51	1296	1895
52	1323	1873
53	1339	1835
54	1353	1796
55	1367	1758
56	1383	1722
57	1394	1683
58	1404	1642
59	1416	1605
60	1427	1567
61	1435	1528
62	1442	1488
63	1451	1451
64	1458	1413
65	1465	1377
66	1472	1340
67	1478	1304
68	1485	1269
69	1491	1236
70	1497	1202
71	1504	1169
72	1510	1138
73	1524	1112
74	1530	1081
75	1536	1051
76	1542	1021
77	1548	992
78	1554	964
79	1561	936
80	1567	909
81	1572	882
82	1578	855
83	1585	830
84	1590	804
85	1596	779
86	1602	755
87	1607	730
88	1615	707
89	1624	685
90	1632	663
91	1640	641
92	1647	620
93	1656	599
94	1664	578
95	1671	557
96	1678	536
97	1685	515
98	1692	495
99	1698	475
100	1705	455
101	1713	436
102	1720	417
103	1725	398
104	1731	379
105	1736	360
106	1742	341
107	1747	323
108	1753	305
109	1759	287
110	1765	270
111	1770	252
112	1775	235
113	1781	218
114	1786	202
115	1793	185
116	1798	169
117	1804	152
118	1809	136
119	1815	121
120	1822	105
121	1829	89
122	1836	74
123	1841	59
124	1847	44
125	1854	29
126	1859	14
127	1865	0
